,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0mPAjOjWhSw63IlIgU1wKe,0mPAjOjWhSw63IlIgU1wKe,Yung Ralph,0.78,0.59,-7.01,0.23,0.16,0.0,0.25,0.52,124.76
78u6vm4TMueZ6sAZFSSTJY,78u6vm4TMueZ6sAZFSSTJY,K.B. Da Kidnappa,0.7,0.82,-3.63,0.21,0.14,0.0,0.2,0.59,114.56
5zRp3bPBElRwxg5kVzTrAP,5zRp3bPBElRwxg5kVzTrAP,Triston Palma,0.73,0.46,-9.36,0.16,0.06,0.07,0.22,0.64,110.26
6EMWMUO2B9Nt39O7SXdZUw,6EMWMUO2B9Nt39O7SXdZUw,Pablo Moses,0.84,0.62,-6.92,0.08,0.19,0.06,0.15,0.82,130.56
5xu3KF4ZTFjNncNRIVaJnt,5xu3KF4ZTFjNncNRIVaJnt,Mr. 3-2,0.74,0.62,-10.05,0.23,0.14,0.02,0.14,0.55,109.21
7mFSVCaPnxu3EsAnBEd6FE,7mFSVCaPnxu3EsAnBEd6FE,Sleepy Loka,0.85,0.51,-10.55,0.28,0.35,0.0,0.1,0.66,117.22
5p8vd7al1l0ydxORHatbuR,5p8vd7al1l0ydxORHatbuR,Mista Madd,0.84,0.63,-6.0,0.22,0.15,0.0,0.19,0.65,95.01
36HvjE9pV91jEjO1qBRidS,36HvjE9pV91jEjO1qBRidS,B.G.,0.7,0.7,-6.44,0.24,0.08,0.0,0.2,0.64,135.83
0VKTLKamj4IH8OfQbUL0kq,0VKTLKamj4IH8OfQbUL0kq,Dem Franchize Boyz,0.76,0.58,-7.79,0.28,0.06,0.0,0.14,0.52,104.21
5uocog8cIUnlVgSR6NME6C,5uocog8cIUnlVgSR6NME6C,Pharoah,0.71,0.6,-7.93,0.25,0.12,0.03,0.16,0.44,126.22
6d2m7hBhIl9r3j8jHbR8BB,6d2m7hBhIl9r3j8jHbR8BB,Mr Chino,0.68,0.42,-15.17,0.24,0.2,0.02,0.17,0.55,126.38
1WyuwjAyePxzrlsD9Ez0un,1WyuwjAyePxzrlsD9Ez0un,Young Trigger,0.81,0.54,-8.72,0.27,0.25,0.0,0.22,0.58,105.63
3fDGRNpnPPjzL3aJjKoUEs,3fDGRNpnPPjzL3aJjKoUEs,Seldom Seen,0.81,0.59,-6.93,0.2,0.1,0.09,0.14,0.55,116.73
7vK7W4m2DU8bj7upwd4qen,7vK7W4m2DU8bj7upwd4qen,50/50 Twin,0.77,0.62,-9.09,0.36,0.09,0.0,0.32,0.57,138.46
5einkgXXrjhfYCyac1FANB,5einkgXXrjhfYCyac1FANB,Lil Scrappy,0.76,0.68,-5.74,0.32,0.09,0.0,0.3,0.52,88.54
0E5ZWiFCiNSGqmbysgRavE,0E5ZWiFCiNSGqmbysgRavE,Da Herb Man,0.76,0.74,-7.03,0.3,0.18,0.0,0.24,0.64,94.28
